Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,PHO,Deandre Ayton,Arizona,3,160,4987,2609,1716,273,.581,.194,.754,31.2,16.3,10.7,1.7,15.0,.144,0.3,2.9
2,SAC,Marvin Bagley III,Duke,3,112,2852,1621,843,107,.499,.318,.664,25.5,14.5,7.5,1.0,5.1,.086,-2.1,-0.1
3,ATL,Luka Dončić,,3,179,5978,4595,1512,1367,.456,.334,.736,33.4,25.7,8.4,7.6,19.4,.156,6.3,12.5
4,MEM,Jaren Jackson Jr.,Michigan State,2,115,3137,1788,534,142,.485,.384,.757,27.3,15.5,4.6,1.2,6.8,.104,0.1,1.7
5,DAL,Trae Young,Oklahoma,3,191,6337,4598,754,1688,.430,.348,.853,33.2,24.1,3.9,8.8,14.6,.111,2.0,6.4
6,ORL,Mo Bamba,Texas,3,139,2014,816,665,96,.472,.332,.624,14.5,5.9,4.8,0.7,5.0,.120,-0.4,0.8
7,CHI,Wendell Carter Jr.,Duke,3,126,3345,1385,1022,209,.513,.237,.756,26.5,11.0,8.1,1.7,7.9,.114,-1.7,0.2
8,CLE,Collin Sexton,Alabama,3,191,6323,3776,566,618,.458,.383,.835,33.1,19.8,3.0,3.2,4.7,.036,-2.6,-1.0
9,NYK,Kevin Knox,Kentucky,3,173,3757,1537,573,161,.370,.347,.703,21.7,8.9,3.3,0.9,-0.6,-.007,-4.7,-2.6
10,PHI,Mikal Bridges,Villanova,3,206,6102,2027,795,416,.487,.366,.826,29.6,9.8,3.9,2.0,13.4,.105,0.4,3.7
11,CHO,Shai Gilgeous-Alexander,Kentucky,3,187,5782,3050,810,709,.482,.373,.805,30.9,16.3,4.3,3.8,13.1,.109,1.3,4.8
12,LAC,Miles Bridges,Michigan State,3,196,5076,1970,978,311,.455,.345,.816,25.9,10.1,5.0,1.6,7.3,.069,-1.5,0.7
13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,14.2,4.5,1.8,1.2,-0.1,-.004,-4.8,-1.1
14,DEN,Michael Porter Jr.,Missouri,2,97,2174,1229,580,88,.527,.437,.794,22.4,12.7,6.0,0.9,7.5,.165,1.9,2.1
15,WAS,Troy Brown Jr.,Oregon,3,149,2918,1086,607,282,.427,.329,.752,19.6,7.3,4.1,1.9,3.1,.051,-2.2,-0.1
16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.2
17,MIL,Donte DiVincenzo,Villanova,3,143,3309,1276,661,339,.434,.350,.730,23.1,8.9,4.6,2.4,7.6,.111,0.4,2.0
18,SAS,Lonnie Walker,Miami (FL),3,116,2091,869,259,140,.420,.374,.758,18.0,7.5,2.2,1.2,0.9,.020,-3.5,-0.8
19,ATL,Kevin Huerter,Maryland,3,184,5438,2031,649,611,.418,.377,.795,29.6,11.0,3.5,3.3,5.6,.049,-1.7,0.5
20,MIN,Josh Okogie,Georgia Tech,3,176,4118,1304,588,234,.397,.269,.774,23.4,7.4,3.3,1.3,4.0,.046,-3.1,-1.1
21,UTA,Grayson Allen,Duke,3,113,2046,934,225,157,.427,.384,.840,18.1,8.3,2.0,1.4,3.5,.081,-1.6,0.2
22,CHI,Chandler Hutchison,Boise State,3,84,1585,490,335,67,.441,.287,.616,18.9,5.8,4.0,0.8,0.9,.026,-4.2,-0.9
23,IND,Aaron Holiday,UCLA,3,165,3128,1287,284,398,.407,.374,.819,19.0,7.8,1.7,2.4,3.2,.050,-2.3,-0.2
24,POR,Anfernee Simons,,3,134,2317,1004,266,172,.404,.370,.795,17.3,7.5,2.0,1.3,1.1,.022,-3.8,-1.1
