Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,CHI,Derrick Rose,Memphis,12,628,20170,11607,2101,3464,.455,.307,.827,32.1,18.5,3.3,5.5,40.8,.097,1.3,16.9
2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
4,SEA,Russell Westbrook,UCLA,13,922,31933,21369,6678,7769,.437,.305,.791,34.6,23.2,7.2,8.4,102.2,.154,4.7,53.7
5,MEM,Kevin Love,UCLA,13,721,22954,13066,7990,1713,.442,.370,.828,31.8,18.1,11.1,2.4,82.2,.172,3.4,31.0
6,NYK,Danilo Gallinari,,12,650,19821,10402,3149,1292,.427,.382,.875,30.5,16.0,4.8,2.0,59.3,.144,1.9,19.7
7,LAC,Eric Gordon,Indiana,13,692,22588,11498,1698,1967,.425,.368,.812,32.6,16.6,2.5,2.8,35.1,.075,-0.4,8.9
8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
9,CHA,D.J. Augustin,Texas,13,913,21795,8864,1722,3625,.411,.379,.867,23.9,9.7,1.9,4.0,46.5,.102,-0.6,7.9
10,NJN,Brook Lopez,Stanford,13,836,25387,13810,5259,1229,.493,.340,.795,30.4,16.5,6.3,1.5,69.1,.131,1.3,21.4
11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
15,PHO,Robin Lopez,Stanford,13,883,19652,7754,4419,732,.533,.293,.747,22.3,8.8,5.0,0.8,47.2,.115,-1.0,4.8
16,PHI,Marreese Speights,Florida,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.2,-0.6
17,TOR,Roy Hibbert,Georgetown,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5
18,WAS,JaVale McGee,Nevada,13,737,12664,5798,3797,311,.572,.189,.594,17.2,7.9,5.2,0.4,37.5,.142,0.1,6.8
19,CLE,J.J. Hickson,NC State,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5
20,CHA,Alexis Ajinça,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.8,-0.8
21,NJN,Ryan Anderson,California,12,649,16769,8001,3413,586,.422,.380,.854,25.8,12.3,5.3,0.9,46.7,.134,1.0,12.8
22,ORL,Courtney Lee,Western Kentucky,12,811,21938,7765,2127,1353,.451,.388,.853,27.1,9.6,2.6,1.7,39.3,.086,-0.6,7.9
23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,.534,.000,.582,16.4,5.7,5.0,0.5,28.3,.120,-1.3,2.0
24,SEA,Serge Ibaka,,12,847,24028,10570,6205,690,.514,.360,.759,28.4,12.5,7.3,0.8,70.5,.141,0.5,15.4
25,HOU,Nicolas Batum,,13,840,26180,9548,4386,3087,.435,.360,.841,31.2,11.4,5.2,3.7,58.8,.108,1.6,23.7
26,SAS,George Hill,IUPUI,13,799,22111,8883,2459,2547,.458,.384,.804,27.7,11.1,3.1,3.2,66.5,.144,1.4,19.2
27,NOH,Darrell Arthur,Kansas,9,503,8945,3282,1768,409,.444,.352,.765,17.8,6.5,3.5,0.8,12.3,.066,-2.2,-0.4
28,MEM,Donté Greene,Syracuse,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017,-2.8,-0.9
29,DET,D.J. White,Indiana,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-2.1,0.0
30,BOS,J.R. Giddens,New Mexico,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.3,-0.1
31,MIN,Nikola Peković,,6,271,6744,3405,1807,199,.518,,.760,24.9,12.6,6.7,0.7,18.8,.134,-0.7,2.2
32,SEA,Walter Sharpe,UAB,1,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-.131,-10.1,0.0
33,POR,Joey Dorsey,Memphis,4,130,1488,344,513,55,.534,.000,.375,11.4,2.6,3.9,0.4,2.9,.092,-2.7,-0.3
34,MIN,Mario Chalmers,Kansas,9,646,17245,5743,1585,2412,.417,.351,.793,26.7,8.9,2.5,3.7,32.3,.090,-0.6,5.9
35,LAC,DeAndre Jordan,Texas A&M,13,921,25348,8645,9782,893,.673,.083,.474,27.5,9.4,10.6,1.0,91.7,.174,1.4,21.6
36,POR,Ömer Aşık,,8,471,9216,2479,3362,280,.528,.000,.551,19.6,5.3,7.1,0.6,20.9,.109,-1.9,0.1
