Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
45,CHA,Bernard Robinson,Michigan,3,128,1909,576,315,126,.417,.161,.786,14.9,4.5,2.5,1.0,2.0,.049,-2.1,0.0
46,POR,Ha Seung-Jin,,2,46,316,70,67,3,.519,,.500,6.9,1.5,1.5,0.1,-0.2,-.029,-8.8,-0.5
47,MIA,Pape Sow,Cal State Fullerton,3,76,879,219,214,12,.416,,.678,11.6,2.9,2.8,0.2,0.8,.044,-5.7,-0.8
48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,,,
49,MEM,Sergei Lishouk,,,,,,,,,,,,,,,,,,
50,DAL,Vassilis Spanoulis,,1,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-.010,-5.9,-0.3
51,NJN,Christian Drejer,Florida,,,,,,,,,,,,,,,,,
52,SAS,Romain Sato,Xavier,,,,,,,,,,,,,,,,,
53,MIA,Matt Freije,Vanderbilt,2,42,588,133,85,27,.293,.224,.714,14.0,3.2,2.0,0.6,-0.6,-.047,-6.0,-0.6
54,DET,Rickey Paulding,Missouri,,,,,,,,,,,,,,,,,
55,HOU,Luis Flores,Manhattan College,1,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-.020,-4.8,0.0
56,LAL,Marcus Douthit,Providence,,,,,,,,,,,,,,,,,
57,SAS,Sergei Karaulov,,,,,,,,,,,,,,,,,,
58,MIN,Blake Stepp,Gonzaga,,,,,,,,,,,,,,,,,
59,IND,Rashad Wright,Georgia,,,,,,,,,,,,,,,,,
