Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,PHI,Ben Simmons,LSU,4,261,8923,4215,2145,2042,.558,.152,.599,34.2,16.1,8.2,7.8,28.6,.154,3.7,12.8
2,LAL,Brandon Ingram,Duke,5,299,9736,5230,1511,1029,.461,.366,.749,32.6,17.5,5.1,3.4,13.7,.067,-0.8,2.9
3,BOS,Jaylen Brown,California,5,328,9005,4848,1523,567,.473,.377,.694,27.5,14.8,4.6,1.7,18.1,.097,-0.4,3.6
4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-4.0,-1.9
5,MIN,Kris Dunn,Providence,4,227,5516,1884,760,948,.422,.306,.726,24.3,8.3,3.3,4.2,3.9,.034,-1.8,0.2
6,NOP,Buddy Hield,Oklahoma,5,368,10540,5880,1552,856,.435,.405,.864,28.6,16.0,4.2,2.3,13.9,.063,0.3,6.0
7,DEN,Jamal Murray,Kentucky,5,344,10351,5622,1254,1318,.446,.367,.877,30.1,16.3,3.6,3.8,20.9,.097,0.2,5.9
8,SAC,Marquese Chriss,Washington,5,258,4992,2052,1263,281,.455,.289,.667,19.3,8.0,4.9,1.1,5.7,.055,-2.3,-0.4
9,TOR,Jakob Poeltl,Utah,5,329,5885,1931,1744,372,.635,.500,.508,17.9,5.9,5.3,1.1,20.1,.164,0.8,4.1
10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.088,-2.1,-0.1
11,ORL,Domantas Sabonis,Gonzaga,5,339,9160,4483,2868,1044,.521,.318,.722,27.0,13.2,8.5,3.1,25.5,.134,0.9,6.8
12,UTA,Taurean Prince,Baylor,5,294,7599,3316,1249,567,.410,.368,.822,25.8,11.3,4.2,1.9,6.1,.039,-1.9,0.2
13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,CHI,Denzel Valentine,Michigan State,4,214,4350,1637,783,424,.397,.360,.784,20.3,7.6,3.7,2.0,4.3,.047,-1.7,0.3
15,DEN,Juan Hernangómez,,5,239,3873,1310,847,156,.428,.354,.711,16.2,5.5,3.5,0.7,6.9,.085,-1.8,0.2
16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.024,-3.7,-0.3
19,DEN,Malik Beasley,Florida State,5,257,5050,2535,598,302,.446,.391,.816,19.6,9.9,2.3,1.2,7.6,.072,-1.1,1.2
20,IND,Caris LeVert,Michigan,5,240,6317,3177,907,902,.431,.336,.717,26.3,13.2,3.8,3.8,8.3,.063,-0.6,2.1
21,ATL,DeAndre' Bembry,Saint Joseph's,5,224,4303,1357,734,432,.459,.270,.601,19.2,6.1,3.3,1.9,2.0,.023,-2.6,-0.7
22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,PHI,Timothé Luwawu-Cabarrot,,5,263,4393,1638,552,243,.390,.333,.826,16.7,6.2,2.1,0.9,3.9,.042,-4.2,-2.4
25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,PHI,Furkan Korkmaz,,4,175,3089,1363,369,184,.409,.374,.759,17.7,7.8,2.1,1.1,5.0,.077,-1.7,0.3
27,TOR,Pascal Siakam,New Mexico State,5,319,8720,4434,1851,825,.490,.325,.782,27.3,13.9,5.8,2.6,24.8,.137,1.3,7.2
28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
29,SAS,Dejounte Murray,Washington,4,233,5273,2256,1216,800,.452,.332,.760,22.6,9.7,5.2,3.4,8.2,.075,0.2,2.9
30,GSW,Damian Jones,Vanderbilt,5,126,1677,545,362,70,.672,.200,.686,13.3,4.3,2.9,0.6,5.0,.144,-1.7,0.1
31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
