Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,.438,.347,.791,33.0,17.5,4.6,4.0,24.8,.080,0.9,10.9
3,WAS,Otto Porter,Georgetown,8,441,11684,4821,2189,673,.479,.402,.793,26.5,10.9,5.0,1.5,31.1,.128,1.6,10.6
4,CHA,Cody Zeller,Indiana,8,451,10306,3909,2730,649,.515,.230,.730,22.9,8.7,6.1,1.4,30.1,.140,-0.4,4.1
5,PHO,Alex Len,Maryland,8,510,9844,4000,3082,431,.503,.330,.685,19.3,7.8,6.0,0.8,19.8,.096,-1.9,0.2
6,NOH,Nerlens Noel,Kentucky,7,408,9052,3122,2525,452,.547,.222,.648,22.2,7.7,6.2,1.1,24.6,.130,0.8,6.4
7,SAC,Ben McLemore,Kansas,8,472,10898,4198,1134,493,.417,.362,.777,23.1,8.9,2.4,1.0,7.9,.035,-3.0,-2.9
8,DET,Kentavious Caldwell-Pope,Georgia,8,587,17029,6666,1835,951,.418,.353,.800,29.0,11.4,3.1,1.6,30.0,.085,-0.8,5.0
9,MIN,Trey Burke,Michigan,8,441,9731,4478,833,1448,.412,.347,.803,22.1,10.2,1.9,3.3,12.8,.063,-1.1,2.1
10,POR,CJ McCollum,Lehigh,8,507,15738,9498,1683,1629,.454,.398,.828,31.0,18.7,3.3,3.2,34.7,.106,1.1,12.5
11,PHI,Michael Carter-Williams,Syracuse,8,388,9826,3996,1700,1695,.401,.257,.710,25.3,10.3,4.4,4.4,6.9,.034,-1.2,2.0
12,OKC,Steven Adams,Pitt,8,578,15548,5571,4450,707,.591,.077,.549,26.9,9.6,7.7,1.2,48.3,.149,0.3,9.0
13,DAL,Kelly Olynyk,Gonzaga,8,551,12038,5403,2742,1049,.475,.366,.779,21.8,9.8,5.0,1.9,31.6,.126,0.7,8.2
14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,MIL,Giannis Antetokounmpo,,8,573,18666,11896,5212,2552,.530,.287,.718,32.6,20.8,9.1,4.5,72.0,.185,5.3,34.4
16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,ATL,Dennis Schröder,,8,544,14183,7723,1574,2517,.435,.336,.830,26.1,14.2,2.9,4.6,19.4,.066,-1.1,3.1
18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,CHI,Tony Snell,New Mexico,8,541,12117,3455,1250,633,.432,.396,.844,22.4,6.4,2.3,1.2,17.8,.071,-1.9,0.3
21,UTA,Gorgui Dieng,Louisville,8,540,11739,4240,3266,731,.500,.358,.791,21.7,7.9,6.0,1.4,28.8,.118,0.2,6.6
22,BRK,Mason Plumlee,Duke,8,580,12787,4922,3736,1353,.577,.051,.570,22.0,8.5,6.4,2.3,38.6,.145,1.4,10.9
23,IND,Solomon Hill,Arizona,8,416,9025,2356,1296,624,.392,.334,.798,21.7,5.7,3.1,1.5,11.5,.061,-2.1,-0.2
24,NYK,Tim Hardaway Jr.,Michigan,8,524,14053,7212,1440,962,.424,.358,.814,26.8,13.8,2.7,1.8,22.6,.077,-0.9,3.9
25,LAC,Reggie Bullock,UNC,8,347,7196,2535,784,404,.430,.389,.834,20.7,7.3,2.3,1.2,12.9,.086,-0.8,2.2
26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
27,DEN,Rudy Gobert,,8,526,15600,6313,5890,714,.643,.000,.630,29.7,12.0,11.2,1.4,72.0,.222,3.9,23.1
28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
30,PHO,Nemanja Nedović,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
32,OKC,Álex Abrines,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2
36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
