Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3
40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1
41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2
42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4
44,DAL,Mike Muscala,Bucknell,8,389,6102,2322,1242,356,.458,.368,.847,15.7,6.0,3.2,0.9,14.5,.114,-0.3,2.7
45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,
46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
47,ATL,Raul Neto,,6,298,4403,1587,424,569,.445,.372,.793,14.8,5.3,1.4,1.9,7.0,.076,-1.5,0.5
48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1
50,ATL,James Ennis,Cal State Long Beach,7,382,7815,2547,1268,363,.458,.359,.798,20.5,6.7,3.3,1.0,16.0,.098,-1.4,1.1
51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,
52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5
53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,
54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,
55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2
57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,
58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,
59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,,,,
60,MEM,Jānis Timma,,,,,,,,,,,,,,,,,,
