Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,WAS,John Wall,Kentucky,10,606,21597,11556,2594,5506,.431,.324,.779,35.6,19.1,4.3,9.1,44.6,.099,2.4,24.2
2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5
3,NJN,Derrick Favors,Georgia Tech,11,733,18288,8069,5325,822,.533,.206,.663,24.9,11.0,7.3,1.1,57.6,.151,1.0,13.6
4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2
5,SAC,DeMarcus Cousins,Kentucky,10,592,18597,12257,6328,1894,.459,.333,.736,31.4,20.7,10.7,3.2,44.8,.116,2.6,21.4
6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8
7,DET,Greg Monroe,Georgetown,9,632,17475,8326,5229,1354,.514,.059,.704,27.7,13.2,8.3,2.1,49.7,.136,1.4,15.2
8,LAC,Al-Farouq Aminu,Wake Forest,11,706,17643,5343,4266,877,.420,.333,.746,25.0,7.6,6.0,1.2,27.6,.075,-0.5,6.5
9,UTA,Gordon Hayward,Butler,11,685,21268,10676,3078,2399,.453,.370,.825,31.0,15.6,4.5,3.5,57.4,.130,2.1,22.2
10,IND,Paul George,Fresno State,11,692,23179,13927,4413,2398,.436,.385,.848,33.5,20.1,6.4,3.5,74.5,.154,4.1,35.8
11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8
12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7
13,TOR,Ed Davis,UNC,11,687,13520,4258,4534,530,.566,.000,.585,19.7,6.2,6.6,0.8,42.6,.151,-0.2,6.1
14,HOU,Patrick Patterson,Kentucky,11,706,14692,4709,2768,723,.447,.370,.757,20.8,6.7,3.9,1.0,31.4,.103,0.0,7.4
15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1
16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.1,-0.1
17,CHI,Kevin Séraphin,,7,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-4.3,-3.6
18,OKC,Eric Bledsoe,Kentucky,11,682,19083,9556,2685,3245,.454,.339,.789,28.0,14.0,3.9,4.8,43.8,.110,1.8,18.1
19,BOS,Avery Bradley,Texas,11,588,16515,6843,1706,1040,.436,.364,.780,28.1,11.6,2.9,1.8,16.4,.048,-2.2,-1.0
20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8
21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.9,-0.2
22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-4.9,-1.1
23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,.515,.305,.636,20.4,6.9,5.5,1.1,26.2,.116,-0.5,4.2
24,ATL,Damion James,Texas,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-3.7,-0.3
25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-2.4,-0.1
26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,.423,.356,.746,15.6,4.5,1.8,0.7,9.7,.084,-1.8,0.3
27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,.411,.317,.826,24.4,12.2,2.5,3.1,6.3,.044,-1.3,1.3
28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,.418,.349,.817,23.7,9.0,2.5,4.8,12.6,.064,-1.2,1.9
