Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,MIN,Karl-Anthony Towns,Kentucky,6,391,13450,8936,4576,1139,.530,.395,.835,34.4,22.9,11.7,2.9,54.0,.193,4.8,23.0
2,LAL,D'Angelo Russell,Ohio State,6,340,9864,5985,1238,1783,.420,.359,.772,29.0,17.6,3.6,5.2,9.0,.044,0.4,5.9
3,PHI,Jahlil Okafor,Duke,6,233,4615,2483,1133,218,.539,.227,.677,19.8,10.7,4.9,0.9,6.9,.072,-1.9,0.1
4,NYK,Kristaps Porziņģis,,5,276,8596,5150,2161,401,.440,.359,.805,31.1,18.7,7.8,1.5,20.5,.114,1.3,7.2
5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,SAC,Willie Cauley-Stein,Kentucky,6,384,8786,3553,2344,579,.543,.185,.614,22.9,9.3,6.1,1.5,22.3,.122,0.0,4.4
7,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,.401,.323,.744,23.9,11.0,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,DET,Stanley Johnson,Arizona,6,356,6981,2184,1106,499,.375,.298,.756,19.6,6.1,3.1,1.4,4.0,.028,-2.9,-1.5
9,CHO,Frank Kaminsky,Wisconsin,6,353,7512,3346,1416,579,.425,.350,.743,21.3,9.5,4.0,1.6,13.8,.088,-0.4,3.0
10,MIA,Justise Winslow,Duke,6,257,7185,2295,1372,685,.412,.323,.643,28.0,8.9,5.3,2.7,7.1,.047,-2.1,-0.2
11,IND,Myles Turner,Texas,6,388,11111,4936,2571,467,.487,.353,.770,28.6,12.7,6.6,1.2,29.8,.129,0.6,7.2
12,UTA,Trey Lyles,Kentucky,6,374,6680,2717,1574,389,.435,.341,.705,17.9,7.3,4.2,1.0,10.9,.079,-1.2,1.3
13,PHO,Devin Booker,Kentucky,6,389,13063,8906,1434,1821,.455,.354,.869,33.6,22.9,3.7,4.7,21.3,.078,0.0,6.4
14,OKC,Cameron Payne,Murray State,6,201,3311,1271,396,549,.415,.354,.806,16.5,6.3,2.0,2.7,4.6,.067,-1.4,0.5
15,ATL,Kelly Oubre Jr.,Kansas,6,398,9917,4547,1745,396,.433,.327,.767,24.9,11.4,4.4,1.0,13.9,.067,-1.9,0.2
16,BOS,Terry Rozier,Louisville,6,384,9240,4219,1447,1058,.409,.378,.817,24.1,11.0,3.8,2.8,16.8,.087,0.2,5.1
17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,.478,.288,.606,15.5,5.5,3.0,0.8,5.4,.083,-1.4,0.5
19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,TOR,Delon Wright,Utah,6,314,6577,2393,1015,976,.451,.343,.793,20.9,7.6,3.2,3.1,18.0,.132,2.1,6.8
21,DAL,Justin Anderson,Virginia,5,226,2964,1182,575,151,.413,.296,.774,13.1,5.2,2.5,0.7,4.6,.074,-1.4,0.5
22,CHI,Bobby Portis,Arkansas,6,363,7465,3757,2218,431,.466,.374,.752,20.6,10.3,6.1,1.2,14.3,.092,-1.0,2.0
23,POR,Rondae Hollis-Jefferson,Arizona,5,294,6652,2733,1658,566,.448,.213,.738,22.6,9.3,5.6,1.9,12.5,.090,-0.7,2.2
24,CLE,Tyus Jones,Duke,6,362,6578,2082,598,1312,.431,.338,.815,18.2,5.8,1.7,3.6,13.7,.100,0.0,3.4
25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,LAL,Larry Nance Jr.,Wyoming,6,344,8346,2854,2299,650,.532,.337,.690,24.3,8.3,6.7,1.9,22.4,.129,1.3,6.9
28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,GSW,Kevon Looney,UCLA,6,265,3756,1129,993,288,.571,.196,.611,14.2,4.3,3.7,1.1,12.2,.156,-0.6,1.4
31,MIN,Cedi Osman,,4,248,6157,2394,862,509,.419,.350,.722,24.8,9.7,3.5,2.1,4.4,.034,-2.9,-1.4
32,HOU,Montrezl Harrell,Louisville,6,370,7926,4803,1920,479,.617,.083,.649,21.4,13.0,5.2,1.3,32.4,.196,2.7,9.4
33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,PHI,Willy Hernangómez,,5,239,3492,1640,1323,248,.533,.313,.678,14.6,6.9,5.5,1.0,10.1,.139,0.0,1.8
36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,PHI,Richaun Holmes,Bowling Green,6,318,6516,2949,1779,335,.596,.255,.740,20.5,9.3,5.6,1.1,22.3,.164,0.6,4.2
