Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,POR,Greg Oden,Ohio State,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,-0.4,0.8
2,SEA,Kevin Durant,Texas,13,869,32003,23508,6138,3591,.494,.383,.882,36.8,27.1,7.1,4.1,144.6,.217,6.7,70.3
3,ATL,Al Horford,Florida,14,881,28592,12288,7241,2912,.517,.364,.755,32.5,13.9,8.2,3.3,92.8,.156,2.8,34.7
4,MEM,Mike Conley,Ohio State,14,877,28309,13094,2621,4945,.440,.378,.820,32.3,14.9,3.0,5.6,78.8,.134,2.4,31.3
5,BOS,Jeff Green,Georgetown,13,956,28064,12268,4189,1489,.444,.339,.803,29.4,12.8,4.4,1.6,44.9,.077,-1.3,4.7
6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.3,-3.5
7,MIN,Corey Brewer,Florida,13,819,18771,7097,2287,1250,.425,.284,.713,22.9,8.7,2.8,1.5,22.5,.058,-1.6,2.0
8,CHA,Brandan Wright,UNC,10,428,6949,2976,1560,199,.607,.000,.674,16.2,7.0,3.6,0.5,26.2,.181,2.3,7.5
9,CHI,Joakim Noah,Florida,13,672,18646,5881,6058,1907,.491,.000,.700,27.7,8.8,9.0,2.8,61.9,.159,2.5,20.9
10,SAC,Spencer Hawes,Washington,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-1.1,3.4
11,ATL,Acie Law,Texas A&M,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-3.9,-1.1
12,PHI,Thaddeus Young,Georgia Tech,14,1012,30459,13281,6018,1813,.501,.332,.668,30.1,13.1,5.9,1.8,65.6,.103,0.4,18.5
13,NOK,Julian Wright,Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-0.5,1.2
14,LAC,Al Thornton,Florida State,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.2
15,DET,Rodney Stuckey,Eastern Washington,10,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-0.9,4.9
16,WAS,Nick Young,USC,12,720,16419,8194,1427,687,.418,.376,.836,22.8,11.4,2.0,1.0,18.6,.054,-2.2,-0.8
17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-3.1,-0.6
18,GSW,Marco Belinelli,,13,860,19548,8370,1769,1429,.424,.376,.846,22.7,9.7,2.1,1.7,30.5,.075,-1.3,3.3
19,LAL,Javaris Crittenton,Georgia Tech,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002,-4.2,-1.0
