Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,NOP,Zion Williamson,Duke,2,71,2205,1787,485,221,.606,.385,.686,31.1,25.2,6.8,3.1,9.0,.195,4.6,3.7
2,MEM,Ja Morant,Murray State,2,109,3402,1989,406,798,.465,.307,.761,31.2,18.2,3.7,7.3,6.0,.085,-0.1,1.7
3,NYK,RJ Barrett,Duke,2,109,3506,1735,590,301,.427,.351,.670,32.2,15.9,5.4,2.8,2.4,.033,-2.8,-0.7
4,LAL,De'Andre Hunter,Virginia,2,83,2643,1098,388,154,.433,.355,.799,31.8,13.2,4.7,1.9,1.9,.034,-3.2,-0.8
5,CLE,Darius Garland,Vanderbilt,2,101,3220,1435,211,474,.423,.373,.860,31.9,14.2,2.1,4.7,-0.4,-.006,-4.1,-1.8
6,PHO,Jarrett Culver,Texas Tech,2,93,1975,749,313,130,.406,.289,.503,21.2,8.1,3.4,1.4,-0.2,-.005,-4.7,-1.3
7,CHI,Coby White,UNC,2,113,3172,1564,440,393,.402,.350,.837,28.1,13.8,3.9,3.5,2.2,.033,-3.1,-0.9
8,ATL,Jaxson Hayes,Texas,2,104,1667,722,409,79,.671,.375,.681,16.0,6.9,3.9,0.8,5.8,.166,-0.4,0.7
9,WAS,Rui Hachimura,Gonzaga,2,90,2781,1249,539,154,.472,.311,.800,30.9,13.9,6.0,1.7,3.4,.058,-3.2,-0.8
10,ATL,Cam Reddish,Duke,2,84,2301,902,320,122,.378,.309,.808,27.4,10.7,3.8,1.5,0.0,.001,-4.0,-1.2
11,MIN,Cameron Johnson,UNC,2,102,2304,943,335,130,.438,.388,.838,22.6,9.2,3.3,1.3,5.1,.107,0.6,1.5
12,CHO,P.J. Washington,Kentucky,2,105,3148,1258,621,250,.442,.372,.713,30.0,12.0,5.9,2.4,3.6,.055,-1.7,0.3
13,MIA,Tyler Herro,Kentucky,2,96,2807,1382,429,260,.429,.368,.843,29.2,14.4,4.5,2.7,2.7,.047,-1.8,0.1
14,BOS,Romeo Langford,Indiana,2,36,426,92,49,15,.347,.242,.720,11.8,2.6,1.4,0.4,0.2,.021,-4.8,-0.3
15,DET,Sekou Doumbouya,,2,81,1303,410,210,44,.371,.271,.709,16.1,5.1,2.6,0.5,-0.7,-.026,-7.4,-1.8
16,ORL,Chuma Okeke,Auburn,1,36,868,247,145,80,.431,.360,.793,24.1,6.9,4.0,2.2,1.4,.076,-1.0,0.2
17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,88,1442,687,210,170,.398,.347,.719,16.4,7.8,2.4,1.9,0.3,.011,-2.9,-0.3
18,IND,Goga Bitadze,,2,86,814,330,199,45,.477,.224,.712,9.5,3.8,2.3,0.5,1.7,.102,-1.5,0.1
19,SAS,Luka Šamanić,,2,24,245,93,59,17,.425,.275,.583,10.2,3.9,2.5,0.7,0.1,.026,-4.7,-0.2
20,BOS,Matisse Thybulle,Washington,2,114,2223,485,196,126,.416,.336,.600,19.5,4.3,1.7,1.1,4.4,.095,0.8,1.6
21,OKC,Brandon Clarke,Gonzaga,2,100,2375,1184,574,153,.575,.339,.726,23.8,11.8,5.7,1.5,8.2,.166,2.3,2.6
22,BOS,Grant Williams,Tennessee,2,114,1879,437,310,114,.422,.316,.644,16.5,3.8,2.7,1.0,2.4,.062,-3.3,-0.6
23,UTA,Darius Bazley,,2,97,2234,769,516,95,.393,.315,.699,23.0,7.9,5.3,1.0,0.7,.014,-2.8,-0.4
24,PHI,Ty Jerome,Virginia,2,50,816,286,102,112,.389,.361,.679,16.3,5.7,2.0,2.2,0.7,.041,-2.5,-0.1
25,POR,Nassir Little,UNC,2,80,1024,346,199,37,.448,.310,.738,12.8,4.3,2.5,0.5,1.5,.070,-2.9,-0.2
26,CLE,Dylan Windler,Belmont,1,31,513,161,107,33,.438,.338,.778,16.5,5.2,3.5,1.1,0.6,.053,-1.7,0.0
27,BRK,Mfiondu Kabengele,Florida State,2,35,158,69,25,7,.359,.342,.909,4.5,2.0,0.7,0.2,0.1,.025,-5.6,-0.1
28,GSW,Jordan Poole,Michigan,2,88,1811,825,165,190,.367,.305,.832,20.6,9.4,1.9,2.2,-0.4,-.010,-4.9,-1.3
29,SAS,Keldon Johnson,Kentucky,2,64,1651,771,358,100,.497,.372,.762,25.8,12.0,5.6,1.6,3.7,.107,-1.0,0.4
30,MIL,Kevin Porter Jr.,USC,2,65,1617,729,219,204,.438,.311,.711,24.9,11.2,3.4,3.1,0.2,.007,-3.7,-0.7
31,BRK,Nicolas Claxton,Georgia,2,35,545,210,137,36,.578,.182,.500,15.6,6.0,3.9,1.0,1.6,.139,0.1,0.3
32,PHO,KZ Okpala,Stanford,2,30,348,74,55,12,.423,.289,.375,11.6,2.5,1.8,0.4,0.2,.032,-5.9,-0.3
33,PHI,Carsen Edwards,Purdue,2,58,544,217,66,34,.381,.311,.714,9.4,3.7,1.1,0.6,0.5,.042,-4.3,-0.3
34,PHI,Bruno Fernando,Maryland,2,82,891,276,262,58,.507,.128,.594,10.9,3.4,3.2,0.7,0.8,.041,-4.6,-0.6
35,ATL,Didi Louzada,,,,,,,,,,,,,,,,,,
36,CHO,Cody Martin,Nevada,2,87,1460,386,257,150,.435,.250,.632,16.8,4.4,3.0,1.7,1.7,.057,-2.1,0.0
37,DAL,Deividas Sirvydis,,1,12,26,15,7,1,.333,.400,.750,2.2,1.3,0.6,0.1,0.0,.077,-1.2,0.0
38,CHI,Daniel Gafford,Arkansas,2,76,1020,391,220,38,.701,,.594,13.4,5.1,2.9,0.5,3.4,.162,-0.2,0.5
39,NOP,Alen Smailagić,,2,19,165,70,30,13,.480,.278,.739,8.7,3.7,1.6,0.7,0.2,.069,-2.9,0.0
40,SAC,Justin James,Wyoming,2,61,383,135,43,33,.421,.304,.455,6.3,2.2,0.7,0.5,0.1,.010,-3.1,-0.1
41,GSW,Eric Paschall,Villanova,2,99,2330,1206,399,178,.495,.297,.757,23.5,12.2,4.0,1.8,2.9,.059,-2.9,-0.5
42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,.380,.311,.667,11.2,3.0,1.4,0.5,0.1,.017,-5.5,-0.3
43,MIN,Jaylen Nowell,Washington,2,51,838,415,97,78,.431,.316,.864,16.4,8.1,1.9,1.5,1.0,.058,-2.5,-0.1
44,MIA,Bol Bol,Oregon,2,28,197,92,35,12,.500,.481,.684,7.0,3.3,1.3,0.4,0.2,.058,-1.7,0.0
45,DET,Isaiah Roby,Nebraska,2,46,1019,382,246,76,.500,.314,.710,22.2,8.3,5.3,1.7,1.3,.061,-2.8,-0.2
46,ORL,Talen Horton-Tucker,Iowa State,2,53,975,428,133,113,.452,.272,.810,18.4,8.1,2.5,2.1,1.5,.076,-1.5,0.1
47,SAC,Ignas Brazdeikis,Michigan,2,14,68,19,9,5,.231,.100,.857,4.9,1.4,0.6,0.4,-0.2,-.119,-10.2,-0.1
48,LAC,Terance Mann,Florida State,2,92,1280,424,244,133,.494,.388,.747,13.9,4.6,2.7,1.4,3.4,.127,-0.7,0.4
49,SAS,Quinndary Weatherspoon,Mississippi State,2,25,142,27,13,15,.313,.143,.750,5.7,1.1,0.5,0.6,-0.2,-.084,-8.6,-0.2
50,IND,Jarrell Brantley,College of Charleston,2,26,154,53,35,15,.396,.286,.750,5.9,2.0,1.3,0.6,0.2,.071,-2.1,0.0
51,BOS,Tremont Waters,LSU,2,26,231,81,22,50,.306,.244,.950,8.9,3.1,0.8,1.9,-0.1,-.018,-3.5,-0.1
52,CHO,Jalen McDaniels,San Diego State,2,42,613,229,125,32,.483,.349,.750,14.6,5.5,3.0,0.8,0.9,.071,-3.5,-0.2
53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,NYK,Kyle Guy,Virginia,2,24,158,66,23,20,.377,.294,.833,6.6,2.8,1.0,0.8,0.2,.046,-4.3,-0.1
56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.017,-5.9,-0.2
58,GSW,Miye Oni,Yale,2,46,427,114,79,14,.380,.372,.818,9.3,2.5,1.7,0.3,0.7,.083,-2.7,-0.1
59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
