Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,LAC,Blake Griffin,Oklahoma,11,649,22427,13787,5637,2841,.496,.333,.695,34.6,21.2,8.7,4.4,76.1,.163,3.6,32.0
2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4
3,OKC,James Harden,Arizona State,12,875,30147,22022,4782,5712,.444,.363,.859,34.5,25.2,5.5,6.5,141.8,.226,6.9,67.9
4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
5,MIN,Ricky Rubio,,10,612,18680,6781,2553,4722,.391,.324,.842,30.5,11.1,4.2,7.7,39.1,.101,0.7,12.7
6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9
7,GSW,Stephen Curry,Davidson,12,743,25490,17727,3399,4884,.476,.433,.907,34.3,23.9,4.6,6.6,109.1,.205,6.4,54.4
8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,TOR,DeMar DeRozan,USC,12,863,29452,17335,3763,3238,.460,.283,.832,34.1,20.1,4.4,3.8,72.9,.119,0.6,18.9
10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6
12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6
13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8
15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
16,CHI,James Johnson,Wake Forest,12,669,13760,5293,2395,1423,.476,.308,.690,20.6,7.9,3.6,2.1,25.7,.090,0.8,9.6
17,PHI,Jrue Holiday,UCLA,12,753,24974,12004,2974,4774,.456,.357,.779,33.2,15.9,3.9,6.3,47.3,.091,1.3,20.8
18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6
19,ATL,Jeff Teague,Wake Forest,12,810,21920,9967,1964,4545,.445,.360,.844,27.1,12.3,2.4,5.6,52.1,.114,0.6,14.4
20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8
21,NOH,Darren Collison,UCLA,10,708,20796,8857,1885,3543,.471,.394,.853,29.4,12.5,2.7,5.0,49.9,.115,0.6,13.5
22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4
23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5
24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
26,CHI,Taj Gibson,USC,12,825,20624,7745,5130,830,.516,.220,.709,25.0,9.4,6.2,1.0,54.1,.126,-0.7,6.6
27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7
28,MIN,Wayne Ellington,UNC,12,719,15119,5834,1551,808,.410,.381,.843,21.0,8.1,2.2,1.1,19.8,.063,-1.5,1.9
29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2
30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6
31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2
32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-3.7,-0.3
33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,.469,.345,.649,20.8,5.8,3.7,0.7,24.9,.080,-1.7,1.1
34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,
35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-.008,-5.8,-0.8
36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063,-2.1,-0.1
37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4
38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-3.9,-0.8
39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,.457,.363,.770,17.8,6.2,4.0,0.8,25.8,.109,-1.0,2.9
40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085,-1.3,0.4
41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,.420,.373,.879,22.5,9.3,2.1,1.1,24.3,.096,-0.6,4.2
42,LAL,Patrick Beverley,Arkansas,9,462,12829,4092,1995,1560,.415,.383,.764,27.8,8.9,4.3,3.4,30.4,.114,0.9,9.5
43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,.425,.358,.830,23.4,11.9,2.8,1.4,20.0,.085,0.2,6.2
44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-0.5,2.9
45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063,-0.5,0.8
46,CLE,Danny Green,UNC,12,740,18930,6630,2587,1175,.423,.402,.803,25.6,9.0,3.5,1.6,46.1,.117,2.0,19.2
47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,
48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-.039,-8.1,-0.1
49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,
50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,,,,
51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,,
52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-1.3,0.7
53,SAS,Nando De Colo,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.7,0.5
54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,,,,
55,POR,Patty Mills,Saint Mary's,12,720,14252,6460,1200,1673,.430,.389,.856,19.8,9.0,1.7,2.3,32.5,.109,0.5,8.9
56,DAL,Ahmad Nivins,Saint Joseph's,,,,,,,,,,,,,,,,,
57,PHO,Emir Preldžić,,,,,,,,,,,,,,,,,,
58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.1,0.0
59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,,,,
60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,,,,
