Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,.447,.265,.695,25.6,10.9,3.3,4.6,3.2,.053,-2.2,-0.2
2,LAL,Lonzo Ball,UCLA,4,203,6528,2331,1165,1303,.397,.352,.547,32.2,11.5,5.7,6.4,8.6,.063,0.7,4.4
3,BOS,Jayson Tatum,Duke,4,272,8840,5109,1669,696,.457,.396,.838,32.5,18.8,6.1,2.6,23.5,.127,2.0,8.8
4,PHO,Josh Jackson,Kansas,4,225,5475,2714,956,435,.417,.297,.669,24.3,12.1,4.2,1.9,-1.8,-.016,-3.8,-2.6
5,SAC,De'Aaron Fox,Kentucky,4,256,7981,4574,878,1622,.458,.325,.717,31.2,17.9,3.4,6.3,12.4,.075,0.1,4.2
6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
7,MIN,Lauri Markkanen,Arizona,4,201,6080,3241,1467,255,.438,.361,.849,30.2,16.1,7.3,1.3,10.7,.084,-0.2,2.7
8,NYK,Frank Ntilikina,,4,197,4050,1136,409,557,.366,.323,.760,20.6,5.8,2.1,2.8,-0.6,-.007,-4.6,-2.6
9,DAL,Dennis Smith Jr.,NC State,4,178,4495,2107,548,782,.400,.317,.650,25.3,11.8,3.1,4.4,-1.0,-.010,-2.4,-0.5
10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
11,CHO,Malik Monk,Kentucky,4,223,3975,2057,445,383,.406,.340,.843,17.8,9.2,2.0,1.7,2.1,.025,-2.6,-0.6
12,DET,Luke Kennard,Duke,4,212,4736,1989,585,433,.448,.415,.861,22.3,9.4,2.8,2.0,9.1,.093,-0.7,1.5
13,DEN,Donovan Mitchell,Louisville,4,274,9244,6373,1137,1169,.439,.363,.828,33.7,23.3,4.1,4.3,21.5,.111,1.8,8.9
14,MIA,Bam Adebayo,Kentucky,4,269,7239,3230,2151,902,.556,.159,.737,26.9,12.0,8.0,3.4,26.1,.173,2.6,8.5
15,POR,Justin Jackson,UNC,4,247,4709,1632,624,273,.428,.321,.800,19.1,6.6,2.5,1.1,5.3,.054,-2.8,-0.9
16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.5,.074,-2.6,0.0
17,MIL,D.J. Wilson,Michigan,4,130,1555,532,385,90,.413,.332,.584,12.0,4.1,3.0,0.7,2.4,.073,-2.8,-0.3
18,IND,T.J. Leaf,UCLA,3,139,1203,465,278,42,.491,.341,.571,8.7,3.3,2.0,0.3,2.7,.107,-1.8,0.1
19,ATL,John Collins,Wake Forest,4,223,6399,3705,1917,344,.565,.373,.774,28.7,16.6,8.6,1.5,21.6,.162,1.3,5.4
20,POR,Harry Giles,Duke,3,132,1789,806,528,168,.513,.273,.688,13.6,6.1,4.0,1.3,2.9,.077,-2.6,-0.3
21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,BRK,Jarrett Allen,Texas,4,266,6651,2810,2167,343,.614,.205,.696,25.0,10.6,8.1,1.3,25.2,.182,1.4,5.8
23,TOR,OG Anunoby,Indiana,4,244,6021,2135,940,279,.478,.371,.675,24.7,8.8,3.9,1.1,13.0,.104,-0.2,2.8
24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.3,.038,-6.2,-0.5
26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
27,BRK,Kyle Kuzma,Utah,4,258,7642,3961,1476,482,.447,.335,.723,29.6,15.4,5.7,1.9,11.1,.070,-1.4,1.1
28,LAL,Tony Bradley,UNC,4,97,1158,481,443,51,.645,.429,.676,11.9,5.0,4.6,0.5,5.2,.216,0.9,0.9
29,SAS,Derrick White,Colorado,4,178,4304,1866,566,599,.454,.352,.823,24.2,10.5,3.2,3.4,9.3,.103,0.9,3.2
30,UTA,Josh Hart,Villanova,4,242,6280,2111,1313,390,.432,.348,.728,26.0,8.7,5.4,1.6,11.2,.085,-0.8,1.9
31,CHO,Frank Jackson,Duke,3,143,2290,1020,253,145,.424,.339,.759,16.0,7.1,1.8,1.0,0.9,.019,-4.8,-1.6
32,PHO,Davon Reed,Miami (FL),2,31,289,75,45,16,.307,.310,.667,9.3,2.4,1.5,0.5,-0.2,-.039,-6.3,-0.3
33,ORL,Wesley Iwundu,Kansas State,4,211,3601,941,513,204,.410,.292,.799,17.1,4.5,2.4,1.0,4.2,.056,-3.7,-1.6
34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.7,-0.3
