Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,CLE,Andrew Wiggins,Kansas,7,506,17928,9875,2228,1186,.444,.340,.729,35.4,19.5,4.4,2.3,17.3,.046,-1.8,0.7
2,MIL,Jabari Parker,Duke,7,288,8285,4263,1639,594,.493,.323,.740,28.8,14.8,5.7,2.1,13.2,.076,-0.9,2.4
3,PHI,Joel Embiid,Kansas,5,243,7461,6006,2775,756,.485,.326,.803,30.7,24.7,11.4,3.1,29.2,.188,4.9,12.8
4,ORL,Aaron Gordon,Arizona,7,435,12450,5593,2779,1087,.449,.323,.694,28.6,12.9,6.4,2.5,23.0,.089,0.0,6.3
5,UTA,Dante Exum,,6,245,4545,1389,441,515,.407,.305,.764,18.6,5.7,1.8,2.1,3.1,.032,-3.3,-1.5
6,BOS,Marcus Smart,Oklahoma State,7,435,12707,4404,1534,1818,.376,.321,.778,29.2,10.1,3.5,4.2,23.4,.089,-0.2,5.7
7,LAL,Julius Randle,Kentucky,7,427,12858,7216,3933,1360,.488,.330,.733,30.1,16.9,9.2,3.2,26.0,.097,0.1,6.9
8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,.389,.353,.814,19.9,6.8,2.1,1.5,3.8,.028,-3.0,-1.7
9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,.459,.308,.691,16.8,4.9,5.1,0.8,9.2,.078,-2.4,-0.6
10,PHI,Elfrid Payton,Louisiana,7,431,12507,4766,1863,2718,.451,.288,.632,29.0,11.1,4.3,6.3,16.0,.061,-0.7,4.0
11,DEN,Doug McDermott,Creighton,7,459,9386,4023,1080,413,.473,.407,.828,20.4,8.8,2.4,0.9,16.8,.086,-1.8,0.5
12,ORL,Dario Šarić,,5,339,8689,4063,2033,677,.442,.358,.839,25.6,12.0,6.0,2.0,16.0,.089,-0.8,2.7
13,MIN,Zach LaVine,UCLA,7,403,12613,7617,1533,1522,.457,.384,.824,31.3,18.9,3.8,3.8,17.1,.065,0.0,6.3
14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,.507,.357,.780,28.8,15.5,4.1,1.2,19.6,.099,-0.2,4.2
15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
16,CHI,Jusuf Nurkić,,7,336,7756,3919,2696,673,.491,.167,.670,23.1,11.7,8.0,2.0,17.9,.111,0.2,4.2
17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
19,CHI,Gary Harris,Michigan State,7,388,11262,4651,1011,812,.453,.358,.802,29.0,12.0,2.6,2.1,18.6,.079,-1.1,2.6
20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.055,-2.7,-0.2
21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
23,UTA,Rodney Hood,Duke,7,383,10123,4449,1057,692,.423,.368,.838,26.4,11.6,2.8,1.8,16.5,.078,-1.1,2.3
24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
25,HOU,Clint Capela,,7,380,10049,4774,3890,361,.628,.000,.534,26.4,12.6,10.2,1.0,42.4,.202,2.0,10.2
26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
27,PHO,Bogdan Bogdanović,,4,237,6626,3185,772,812,.436,.376,.812,28.0,13.4,3.3,3.4,10.3,.075,-0.4,2.7
28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
30,SAS,Kyle Anderson,UCLA,7,415,8520,2596,1739,902,.486,.334,.713,20.5,6.3,4.2,2.2,21.7,.123,1.7,8.0
31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1
32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
33,CLE,Joe Harris,Virginia,7,383,9640,4192,1232,630,.484,.437,.774,25.2,10.9,3.2,1.6,19.0,.095,-0.5,3.6
34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8
35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
38,DET,Spencer Dinwiddie,Colorado,7,320,8226,4123,888,1587,.410,.318,.794,25.7,12.9,2.8,5.0,18.4,.107,0.3,4.8
39,PHI,Jerami Grant,Syracuse,7,502,12776,5300,1979,622,.457,.349,.703,25.5,10.6,3.9,1.2,25.8,.097,-0.6,4.4
40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.8,.071,-1.7,0.3
41,DEN,Nikola Jokić,,6,433,12898,7831,4224,2554,.532,.351,.831,29.8,18.1,9.8,5.9,60.3,.224,7.8,31.7
42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3
43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
