Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,CLE,Kyrie Irving,Duke,10,565,19143,12874,2135,3240,.469,.391,.879,33.9,22.8,3.8,5.7,66.7,.167,4.6,31.6
2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
3,UTA,Enes Kanter,,10,692,15285,8023,5459,611,.547,.285,.776,22.1,11.6,7.9,0.9,49.4,.155,-0.2,6.9
4,CLE,Tristan Thompson,Texas,10,657,18232,6139,5710,661,.519,.257,.611,27.8,9.3,8.7,1.0,45.3,.119,-1.6,1.8
5,TOR,Jonas Valančiūnas,,9,604,15392,7685,5513,601,.563,.354,.780,25.5,12.7,9.1,1.0,57.3,.179,0.8,10.9
6,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
7,SAC,Bismack Biyombo,,10,683,13866,3524,4213,400,.525,.000,.570,20.3,5.2,6.2,0.6,27.1,.094,-2.6,-2.2
8,DET,Brandon Knight,Kentucky,8,446,13137,6269,1377,1769,.411,.353,.806,29.5,14.1,3.1,4.0,11.5,.042,-1.6,1.5
9,CHA,Kemba Walker,UConn,10,694,23378,13739,2655,3740,.418,.359,.841,33.7,19.8,3.8,5.4,56.3,.116,2.8,28.5
10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
11,GSW,Klay Thompson,Washington State,8,615,20340,11995,2130,1416,.459,.419,.848,33.1,19.5,3.5,2.3,46.8,.110,0.7,14.2
12,UTA,Alec Burks,Colorado,10,536,11876,5604,1770,1009,.421,.371,.796,22.2,10.5,3.3,1.9,19.5,.079,-0.9,3.3
13,PHO,Markieff Morris,Kansas,10,683,17139,7611,3616,1105,.447,.345,.777,25.1,11.1,5.3,1.6,27.0,.076,-1.3,3.0
14,HOU,Marcus Morris,Kansas,10,649,17459,7847,2991,957,.433,.375,.763,26.9,12.1,4.6,1.5,32.7,.090,-0.5,6.4
15,IND,Kawhi Leonard,San Diego State,10,569,17811,10961,3648,1630,.493,.384,.857,31.3,19.3,6.4,2.9,82.5,.222,6.8,39.7
16,PHI,Nikola Vučević,USC,10,650,19860,10889,6709,1728,.498,.355,.755,30.6,16.8,10.3,2.7,53.3,.129,2.3,21.6
17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,.391,.337,.764,24.9,7.2,3.3,1.8,12.9,.054,-1.7,0.9
18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8
19,CHA,Tobias Harris,Tennessee,10,665,20630,10813,4089,1426,.475,.367,.826,31.0,16.3,6.1,2.1,51.6,.120,1.2,16.5
20,MIN,Donatas Motiejūnas,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5
21,POR,Nolan Smith,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8
22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5
23,HOU,Nikola Mirotić,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1
24,OKC,Reggie Jackson,Boston College,10,612,15229,7714,1796,2608,.430,.346,.854,24.9,12.6,2.9,4.3,32.2,.101,0.4,9.2
25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4
26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0
27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1
28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1
29,SAS,Cory Joseph,Texas,10,653,14270,4519,1678,1890,.443,.332,.774,21.9,6.9,2.6,2.9,25.4,.086,-1.0,3.7
30,CHI,Jimmy Butler,Marquette,10,618,20437,10685,3236,2421,.457,.328,.836,33.1,17.3,5.2,3.9,81.7,.192,4.4,33.0
31,MIA,Bojan Bogdanović,,7,514,14745,7342,1809,784,.456,.392,.858,28.7,14.3,3.5,1.5,25.8,.084,-1.2,3.1
32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2
33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9
34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1
35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1
36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0
37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1
38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2
39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3
40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0
41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2
42,IND,Dāvis Bertāns,,5,313,6064,2634,874,346,.434,.408,.853,19.4,8.4,2.8,1.1,14.7,.116,0.9,4.4
43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1
44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8
